PLA5050SMC;"50mm x ""2 Plason Str Male Coupling";1,;59,40
PLA90SE;90mm Plason stop end;2,;288,80
PMA32-32;Plasson Male Adapter 32-32;1,;12,77
PP40/1;40mm Thick Wall PVC pipe /m;42,;20,43
PP50/1;50mm Pipe / meter;54,;22,28
PT25;Plasson tee 25mm;1,;57,24
PTFER;PTFE R.A.M THICK;17,;5,92
PUG/M;UG PYC 110mm pipe /m;48,;25,92
SANIPROXR;Sanipro XR;1,;7 711,20
SPN1M8;M8 Long spring nut galv;4,;1,85
SV11050SFR;sv 110x50 str Fitting Reducer;1,;47,17
SV45PB;sv 110mm - 45' Plain Bend Pvc;1,;51,28
SV5090SPJ;Sv 110mmx50mm - 90' Single Plain Ju;1,;54,19
SV7545PJ;SV 75mm - 45' Plain Junction;6,;102,94
SV7550SFR;SV 75x50 - STR Fitting Reducer PVC;3,;30,16
SV7590IB;SV 75mm - 90' Inspection Bend;4,;83,69
SV7590PJ;SV 75mm - 90' Plain Junction;3,;76,45
SV75SC;SV 75mm - Str Coupler;3,;31,36
SV90IJ;SV 110mm - 90' Inspection Junction;1,;65,72
SV90PB;SV 110mm - 90'Plain Ben Pvc;4,;30,47
SV90VHB;SV 110 mm - 90' Vent Horn Bend Pvc;3,;46,38
SVBPC;SV 110mm - 90' bend Pan connector;2,;50,53
SVKS;Sv 110mm - Kimberly Socket PVC;7,;29,43
SVSC;SV 110mm - Str Socket PVC;6,;19,85
SVVC;Sv 110mm - Vent Cowl;3,;17,94
T500;Weld PVC HP 500ml Tangit;4,;130,19
UG160SC;UG 160mm - Str Coupler;2,;46,56
UG160SEA;UG 160mm Stop end Access;1,;140,94
UG22.5SPB;Ug 110mm - 22.5' Spigot Plain Bend;4,;54,95
UG90PJ;Ug 110mm  - 90' Plain Junction PVC;14,;62,37
UGGG;UG 110mm -  Gulley Grid;9,;15,32
UGGHP;Ug 110mm - Gully Headpart Pvc;2,;30,60
UGGT;UG 110mm -Gulley Trap PVC Durodrain;3,;52,27
UGKS;ug 110mm Kimberly socket;13,;31,87
WF5;"Adaptor SV 50mmx2"" Female";2,;10,65
